athlete_id,sport,age,gender,training_years,vo2_max,hrv,lactate_threshold,stride_length,cadence,force_application,performance_score,adaptability_score,skiing_potential
A0001,running,24,M,6,56.9,86.6,78.2,1.26,178,243.5,9.12,7.96,77.9
A0002,cycling,22,F,14,73.3,84.7,74.7,1.36,165,345.2,8.56,7.36,85.5
A0003,running,25,M,1,59.1,85.0,86.7,1.1,195,216.2,8.86,6.48,80.4
A0004,running,31,F,9,71.4,71.9,82.4,1.19,189,290.2,9.85,9.31,67.0
A0005,cycling,30,F,3,56.7,76.6,70.7,1.44,157,335.2,9.78,7.03,67.1
A0006,cycling,32,F,14,62.9,92.0,86.4,1.2,183,253.4,8.96,7.35,97.6
A0007,running,34,M,5,52.7,72.3,72.1,0.95,155,214.8,8.97,9.23,95.6
A0008,rowing,32,M,7,66.5,78.8,78.1,1.04,194,391.4,7.74,5.45,84.4
A0009,running,35,F,15,70.9,60.8,81.4,1.17,194,382.8,9.49,6.95,60.0
A0010,running,35,M,7,68.0,89.3,70.2,0.91,179,385.3,8.9,7.01,77.3
A0011,running,19,F,3,63.1,76.7,83.1,1.23,193,395.7,9.48,7.48,81.2
A0012,running,21,F,15,51.1,81.0,83.2,1.5,183,236.9,8.97,5.53,78.0
A0013,cycling,18,M,4,73.3,64.6,83.1,1.26,170,231.6,7.9,5.51,97.0
A0014,running,21,M,10,67.6,99.7,73.3,1.06,161,206.8,7.57,7.08,61.6
A0015,rowing,35,M,7,68.6,72.1,75.1,1.03,198,378.4,7.23,5.17,86.2
A0016,cycling,22,M,8,69.9,85.4,74.9,1.45,155,350.6,8.76,6.27,72.6
A0017,rowing,32,F,2,68.7,83.2,89.2,1.41,188,326.7,7.85,6.01,82.4
A0018,rowing,25,M,9,61.0,91.4,71.4,1.13,155,385.5,8.89,7.45,86.2
A0019,rowing,34,M,7,68.3,71.8,78.6,1.05,153,315.0,7.18,5.06,77.6
A0020,rowing,18,F,13,65.6,90.2,87.4,1.3,158,225.9,8.13,8.38,65.9
A0021,cycling,29,F,8,71.4,75.3,85.4,1.02,154,235.4,7.78,9.28,80.8
A0022,cycling,32,F,6,70.1,76.4,86.4,0.88,159,226.4,8.11,8.53,97.3
A0023,rowing,26,F,6,51.0,86.9,89.4,1.02,196,261.5,7.16,9.09,81.4
A0024,rowing,24,M,9,59.5,91.4,77.7,1.1,157,275.9,9.17,8.22,64.9
A0025,cycling,19,M,4,50.9,86.7,76.2,0.98,172,359.4,7.35,7.54,93.0
A0026,cycling,26,F,11,52.6,96.0,70.6,0.95,153,238.3,7.04,6.1,68.9
A0027,cycling,27,F,11,65.0,71.4,73.0,0.8,186,345.1,9.84,6.4,74.8
A0028,running,19,M,5,71.8,96.0,81.2,1.24,156,298.2,7.58,6.59,77.2
A0029,running,28,M,9,53.0,65.2,73.2,1.23,155,399.9,9.48,5.19,73.6
A0030,running,30,M,1,61.3,86.4,84.7,0.93,194,355.3,9.89,9.57,76.2
A0031,rowing,27,M,4,72.8,81.9,70.7,1.46,200,393.8,8.6,9.5,91.8
A0032,running,31,M,7,70.4,79.8,75.2,1.09,191,268.5,8.58,5.54,68.9
A0033,rowing,35,F,11,63.0,72.4,83.9,0.82,164,224.6,8.1,7.78,78.8
A0034,rowing,26,F,15,69.3,80.1,75.1,0.95,184,301.2,8.28,7.34,60.8
A0035,running,24,F,9,63.1,66.5,84.6,1.28,199,224.8,8.45,8.42,80.3
A0036,rowing,20,F,15,54.0,74.8,89.9,0.94,181,298.5,7.46,8.02,64.5
A0037,running,23,M,14,53.1,63.9,85.9,0.84,163,254.0,8.09,5.62,71.3
A0038,running,19,F,13,54.7,82.9,76.8,1.23,184,298.2,9.45,8.3,73.0
